Sw,fw,dfw_dSw,case
0.7692000000000001,0.9605190305058496,0.46186358510044556,waterflood
0.7696000000000001,0.960703456640388,0.4602691689817675,waterflood
0.77,0.9608872458410351,0.458678911214065,waterflood
0.7704,0.9610703997693594,0.4570928029411334,waterflood
0.7707999999999999,0.9612529200833879,0.45551083531199765,waterflood
0.7712000000000001,0.9614348084376091,0.453932999481367,waterflood
0.7716000000000001,0.9616160664829728,0.4523592866062245,waterflood
0.772,0.961796695866894,0.4507896878512838,waterflood
0.7724,0.9619766982332537,0.44922419438444194,waterflood
0.7727999999999999,0.9621560752224015,0.4476627973797349,waterflood
0.7732000000000001,0.9623348284711577,0.4461054880166557,waterflood
0.7736000000000001,0.9625129596128148,0.4445522574787901,waterflood
0.774,0.9626904702771407,0.4430030969567724,waterflood
0.7744,0.9628673620903802,0.44145799764623916,waterflood
0.7747999999999999,0.9630436366752576,0.4399169507485112,waterflood
0.7752000000000001,0.9632192956509791,0.4383799474710486,waterflood
0.7756000000000001,0.9633943406332345,0.43684697902699554,waterflood
0.776,0.9635687732342008,0.43531803663631763,waterflood
0.7764,0.9637425950625435,0.4337931115239826,waterflood
0.7767999999999999,0.9639158077234198,0.4322721949217794,waterflood
0.7772000000000001,0.9640884128184812,0.4307552780696824,waterflood
0.7776000000000001,0.9642604119458755,0.4292423522106219,waterflood
0.778,0.9644318067002497,0.42773340859707787,waterflood
0.7784,0.9646025986727531,0.42622843848744196,waterflood
0.7787999999999999,0.9647727894510396,0.42472743314624495,waterflood
0.7792000000000001,0.9649423806192703,0.4232303838464304,waterflood
0.7796000000000001,0.9651113737581167,0.4217372818663989,waterflood
0.78,0.9652797704447633,0.4202481184922817,waterflood
0.7804,0.9654475722529106,0.4187628850179408,waterflood
0.7807999999999999,0.9656147807527777,0.41728157274451405,waterflood
0.7812000000000001,0.9657813975111063,0.4158041729795059,waterflood
0.7816000000000001,0.9659474240911615,0.4143306770390609,waterflood
0.782,0.9661128620527375,0.4128610762465996,waterflood
0.7824,0.9662777129521587,0.41139536193304593,waterflood
